"","ID","loop_concept","def","cit","actor","viewpoint","topic","outlet","other"
"81","005951@2013.nl","div","all of the foreign media diversity measurement tools and metrics which were investigated as part of this project operated according to a similar normative understanding, namely that a diversity of content in the media is important to society and to democracy, and should reflect the widest range of cultural and political ideas possible, because the media are integral to the individual’s formulation of ideas and opinions

In many southern countries, of course, large sections of the media audience may experience very limited access to some, if not all, media platforms. Significantly, then, an inversion of the view from which to assess media diversity is required in developing countries. 

 It is one matter to measure the diversity of content within a particular print media publication, but the importance of that analysis must be jointly determined by the accessibility (in addition to the availability) of the publication to a specific audience.

Therefore, on assessing media diversity of content in southern countries such as South Africa, the audience must necessarily first be segmented into the varying media bundle categories (once these have been identified), and a media type should preferably be included within an audience segment’s media bundle only if its access and accessibility are rated highly for that particular audience segment. Only then can a content analysis of the level of diversity within the media be initiated, but a separate content analysis should be done for each media bundle category.

Van Cuilenburg (2007, 38–39) makes a case for assessing the diversity of a media market in its entirety, as opposed to analysing the diversity of separate media markets in isolation from one another.

Therefore, if the primary motivator for measuring media diversity is a concern for the diversity of content and available ideas according to which audiences form opinions, it may be better to view the media as a whole, rather than as separate parts. 

 Indeed, the ideals for media diversity held by policy-makers may not necessarily reflect any symmetry with the preferences of the audience(s). Therefore, as part of the project of establishing a media diversity measurement tool, an audience study becomes essential.


‘Pluralism’ and ‘diversity’ are often used interchangeably, especially in European policy debates. In this article, the terms are understood to be distinctly different. Pluralism refers to the number of media outlets, while diversity refers to the type of voices available in these media outlets, and whether the voices of particularly vulnerable social groups (e.g., women, children, the elderly) are represented in media content. While the extent of the former can be assessed through quantitative indicators, it is difficult to assess the latter without a more qualitative approach.
","Van Cuilenburg (2007)","diversity of voices","","","",""
"82","005969@2013.nl","div","In multicultural societies, diversity is considered a prime objective of regulation established for broadcast media. Three types of diversity 􏰁 source diversity, content diversity, and exposure diversity 􏰁 are considered vitally important to protect the rights of citizens and the functioning of democratic systems of governance (McQuail, 2005; Napoli, 2003).

Without ensuring diversity of views in media content and programming, it is impossible to guarantee ‘an increase in the diversity of content consumed by audiences’ (Napoli, 2003, p. 129).

Source diversity has attracted the attention of policymakers who have attempted various strategies to practically implement the elusive principles enshrined in the concept. Napoli (2003) argued that regulators have operationalized source diversity by warranting diversity of media ownership, by encouraging media outlets to ensure diversity of ownership of content and programming, and by introducing rules paving the way for the recruitment of a diverse workforce","McQuail, 2005; Napoli, 2003","","","","source diversity","content diversity"
"83","005998@2013.nl","div","Teachman (1980, 341) defines diversity as ‘‘the distribution of population elements along a continuum of homogeneity to heterogeneity with respect to one or more variables.’’ The concept of diversity has two dimensions (McDonald and Dimmick 2003). As Junge (1994) noted, the first dimension of diversity is categorical and is typically a set of discrete classifications within a given distribution. The second dimension is the allocation of the elements to the categories. Conceptually, then, diversity becomes an interaction of the number of categories with the assignment of elements to those categories. Mathematically, interest is in the flatness of the distribution (Pielou 1975).

When considering the diversity of the media agenda, there are at least three different uses of diversity: source diversity, content diversity, and audience exposure diversity (Napoli 1999). Source diversity can mean both the number of media owners and the number of media channels. Content diversity refers to the category designations given to different program formats, issue categories, people’s demographic features, and viewpoints represented within the media. Audience exposure diversity refers to the content diversity that audiences are really exposed to in their media use. Media agenda diversity is an important measure over time because it can influence public opinion diversity and fundamental values of democracy.

In this study, content diversity is measured with subject content (issue categories) that the newspaper reports on, which is also called media agenda diversity. ","Teachman (1980);McDonald and Dimmick 2003;Junge (1994); Pielou 1975; Napoli 1999",NA,NA,"issue diversity",NA,NA
"84","006040@2013.nl","div","Diversity in the media may be understood to mean many things, but in the context of this article, it refers to three aspects in the broadcast media: diversity of outlets, diversity of sources, and diversity of content. Diversity of outlets requires that space be allocated to users on different communication platforms to ensure that the general public is able to receive a diverse range of broadcasting services.36 In order to promote diversity of outlets, it is recommended that there should be at least three categories of broadcasting services: commercial; commu- nity, and public service.37 Although the programming format of these broadcast- ers is not mutually exclusive, their operating rationale is different. Thus, where all the three types of broadcasters are in operation, this will maximize the promo- tion of dissemination of a wide range of information and ideas catering for the informational needs of a diverse audience.

The second facet of diversity, which relates to sources, demands that adequate measures be put in place to prevent monopolies in the media.47 The protection of freedom of expression under international law obligates states to prevent undue media dominance or concentration by privately controlled media groups in monopolistic situations that may be harmful to a diversity of sources and views.4

The guarantee of freedom of expression imposes an obligation on the state to take steps to promote diversity of media content.61 Programming by broadcast- ers should provide diverse views, opinions, and perceptions to the public they serve. There are various measures that a state may put in place to promote diver- sity of content. These measures include, among others, strong support for both public service and community broadcasters, imposing content obligations on broadcasters, and requirements that programming of a broadcaster must con- tain independent productions.","T Mendel & E Salomon, Freedom of Expression and Broadcasting Regulation (Rio de Janeiro: UNESCO, 2011) at p.16.","diversity of sources","diversity of content","","diversity of outlets",""
"85","006166@2013.nl","div","For example, Freedman (2008: 72) makes a distinction between pluralism and diversity, according to which ‘pluralism refers to the wider political context in which media operate’, whereas ‘diversity is related to the media’s ability to acknowledge and express existing social differences’. Doyle’s definition does not diverge significantly from the original interpretation of the internal/external dichotomy; in Doyle’s view, internal pluralism pertains to the diversity of the output (referring to the media content), whereas external pluralism refers to the diversification of media ownership (Doyle, 2002)."," Freedman (2008); (Doyle, 2002)",NA,NA,NA,NA,NA
"86","006367@2013.nl","div","The empirical implication is that as the number of electoral parties in a state increases, we should observe relatively more policy-oriented and less personality/human interest–oriented news coverage, as well as less support for government policy and a wider range of frames pertaining to a given policy appearing in the news.3 More diversity in frames by definition implies more alternatives to the government’s preferred frame",NA,NA,NA,"diversity of frames",NA,NA
"87","006391@2013.nl","div"," Also, we encoded the diversity of views, i.e. whether alternative scenarios were discussed or not.",NA,NA,"diversity of views",NA,NA,NA
"88","006563@2016.nl","div","Following Dahl’s classic definition of democracy (DAHL, 1971), I address two critical roles of the media: pluralism and access to diverse and independent sources of information. More than the simple expression of social diversity, pluralism empowers citizens to participate effectively in politics. Pluralism is directly linked with diversity of opinion and other dimensions of democracy, since freedom of expression gives it a concrete, demonstrable existence.","DAHL, 1971",NA,NA,NA,NA,NA
"89","007415@2011.nl","div","This was one of the greatest conceptual difficulties when undertaking the comparative study of American and European communication policies. In the United States, the term ‘diversity’ is used instead of ‘pluralism’, which undoubtedly introduces certain nuances when considering the country’s pluralism protection legislation and mechanisms. In our opinion, it is more in keeping with the meanings of the free market and the fostering of competition as a means of achieving it.","","","","","",""
"90","007508@2012.nl","div","Most importantly, pursuing plurality as a policy aim postulates that availability of diversity of views (including very partial views) is a key factor which underpins democratic debate. If we start from a concept of plurality designed to achieve diversity of view points and preserving excessive influence over public opinion measuring such plurality can be a daunting task. It seems clear that diverse ownership is not a surrogate (or even a guarantee) of diversity. ","","","diversity of viewpoints","","",""
"91","007866@2005.nl","div","A central problem here is what is meant by diversity, and how we should assess it. Should we understand by diversity the number of owners of media outlets? Or rather (perhaps in addition) the number of sources that provide content?

Philip Napoli has written astutely on the varieties of diversity. In a useful typology, Napoli (1999) identifies source diversity as encompassing ownership (within which there is a subset distinction between the ownership of out- lets and the ownership of content

Content diversity encompasses format or program-type diversity, demographic diversity (particularly whether minority groups and other demo- graphic groups are portrayed on television in reasonable proportion to their prevalence in society, a metric that has not been central to policymakers, but has been important to communication studies), and, of course, idea-viewpoint diversity. Exposure diversity, in Napoli’s view a neglected dimension, considers the diversity of content “as received,” in the sense of actual media selection by audiences.

 This was what we now call for- mat diversity, understood vertically, that is, within each broadcast outlet.","Philip Napoli (1999)","","viewpoint diversity","","source diversity","content diversity"
"92","007907@2006.nl","div","This article uses as a basis for discussing cultural diversity policies in Mexico the analytical framework developed by Napoli (1999), who distinguished among three broad components of media diversity: source diversity, content diversity, and expo- sure diversity. Next, Napoli’s components and subcomponents are used to review to- day’s situation in Mexican television

In many policy debates, source diversity is seen as the most important factor to fos- ter diversity in the mass media. According to Napoli (1999), this dimension has been traditionally conceptualized by policymakers in three separate ways: ”(a) in terms of the diversity of ownership of content or programming, (b) in terms of the diversity of ownership of media outlets, and (c) in terms of the diversity of the workforce within individual media outlets” (p. 9)

According to Napoli (1999), content diversity has three different subcomponents: format or program-type diversity, demographic diversity, and idea-viewpoint diversity.

According to Napoli (1999), the concept of exposure diversity is divided into two components: horizontal diversity and vertical diversity. The former “refers to the distribution of audiences across all available content options, whereas vertical ex- posure diversity refers to the diversity of content consumption within individual au- dience members” (p. 26).","Napoli (1999);","content diversity","content diversity","content diversity","source diversity ",""
"93","007927@2007.nl","div","Citing Doyle (2002: 11), once again, ‘pluralism is generally associated with diversity in the media; the presence of a number of different and independent voices, and of differing political opinions and representations of culture within the media’. There are two types of pluralism: external or structural pluralism and internal pluralism. External pluralism relates to the diversity of ownership within a specific market. It is achieved when there is a plurality of broadcasters and outlets in a sector. Internal pluralism refers to the diversity of output. It is achieved when extensive coverage and diversity of programming are provided by media outlets. Restrictions on media ownership are not sufficient in themselves to guarantee diversity of output reflecting different political and social views,","Doyle (2002)","presence of different voices","differing opinions","","",""
"94","007928@2007.nl","div","The media should allow for pluralistic competition among parties and individuals for all positions in power. This specific conception of the role of the media leads to the requirement of availability and balance of the news in terms of both the amount of coverage of issues and the way these issues are covered. This diversity can be reached in different ways, either by treating external diversity between various media outlets that have strong political leanings or internal diversity, in which case the outlet does not take a stance, but presents multiple and contrasting perspectives on a certain issue. ",NA,NA,"frame diversity",NA,NA,NA
"95","007934@2007.nl","div","D. G. McDonald and Dimmick (2003) and G. M. McDonald and Lin (2004) criticized previous studies of media diversity for being just descriptive in nature. They argued that statistically significant differences in mean values cannot accu- rately reflect the true diversity. These researchers proposed that media diversity measurement should incorporate two dimensions (Junge, 1994; D. G. McDonald & Dimmick, 2003; G. M. McDonald & Lin, 2004). The first dimension is the number of categories, and the second is the proportion of objects distributed to these categories. Thus, for example, in a study of newspaper content diversity, a set of discrete classifications of news content is the categorical dimension, whereas the second dimension is the percentages of each classification.
D. G. McDonald and Dimmick (2003) and G. M. McDonald and Lin (2004) proposed that measurement of media diversity should consider the interaction of these two dimensions. These researchers support a more appropriate statistical test that advances beyond descriptive studies of diversity. They pointed out that the measure of diversity (a) should vary between 0 and 1.00 (0 indicates no diversity and 1.00 indicates the highest degree of diversity), (b) should consider the condition where no population members are assigned to additional categories (in such case, the value of diversity should not be changed.), and (c) should be able to partition variance within the measures to assess contributions of other variables to diversity or statistical differences (G. M. McDonald & Lin, 2004). This study employed Simpson’s D, which has these three characteristics (D. G. McDonald & Dimmick, 2003; G. M. McDonald & Lin, 2004), to test newspaper diversity.

This study assesses newspaper diversity from the perspective of “subject con- tent,” using 20 categories from prior studies (Chem et al., 2003; Johnson & Wanta, 1993; Lacy, 1987; McQuail, 1992; Voakes et al., 1996).","D. G. McDonald and Dimmick (2003); G. M. McDonald and Lin (2004); Chem et al., 2003; Johnson & Wanta, 1993; Lacy, 1987; McQuail, 1992; Voakes et al., 1996",NA,NA,"subject content",NA,NA
"96","008152@2010.nl","div","For its theoretical framework, this article follows Doyle’s (2002) and the Council of Europe’s (1994) definitions of pluralism, understood as the concurrence between internal and external pluralism. Internal pluralism refers to the diversity of media content offering independent voices, diverse political opinions, and different representations of citizens in the media; whereas external pluralism refers to the diversity of media owners, reflected both by the plurality of independent and autonomous media. Therefore, the idea of pluralism encompasses and requires both a diversity of media content and a diversity of media owners. However, this article will focus on external pluralism through regulation and media policy, as well as on its impact on the Spanish media system. It will study the evolution of media regulation and its impact on different media, rather than the diversity of content offered to the general public.","Doyle (2002); Council of Europe (1994)","voices","diverse political opinions","","media owners",""
"97","008192@2010.nl","div","As the FCC explained at length in 2002, there are many different versions of diversity.
Biennial Report and Order, 18 F.C.C.R. 13620, 13627 (2002) (listing viewpoint diversity, programming diversity, outlet diversity, source diversity, and minority and female ownership diversity)

One of these—viewpoint diversity— refers to the extent of different types of ideas and communications available in a broadcast market.","Biennial Report and Order, 18 F.C.C.R. 13620, 13627 (2002)",NA,"viewpoint diversity ",NA,NA,NA
"98","008237@2011.nl","div","Although diversity is a rich and multifaceted communications policy-making principle (see Napoli, 1999), over time it has become increasingly tied to concerns about concentration of media ownership (Napoli & Gillis, 2006)

Consider the notion of cultural diversity, a well-established manifestation of the diversity principle in the communications sector (UNESCO, 1995, 2002). According to UNESCO (1995), cultural diversity is defined as
the manifold ways in which the cultures of groups and societies find expression. . . . Cultural diversity is made manifest not only through the varied ways in which the cultural heritage of humanity is expressed, augmented, and transmitted through the variety of cultural expressions, but also through diverse modes of artistic creation, production, dissemination, distribution and enjoyment, whatever the means and technologies used. (Article 4, no. 2)

This concern about “national diversity” (i.e., the extent to which a multitude of national cultures remain vibrant and resistant to submersion beneath a few dominant cultures; see Norris & Engelhart, 2008) is persistent—and perhaps even intensified—given the greater challenges to limiting the cross-border flows of content that characterize the contemporary media environment.

The term user-focused diversity is being employed here to capture the more granular analytical lens that is finding its way into diversity policy discourse. The sphere of diversity policy is extending beyond its traditional, institutionally-focused boundaries, thereby incorporating concerns that have long resided at the margins of mainstream diversity policy priorities.
Policymaking has begun to take into account today’s more empowered media user (see, e.g., Organisation for Economic Cooperation and Development, 2007).","Napoli, 1999; Napoli & Gillis, 2006; UNESCO (1995); Norris & Engelhart, 2008; Organisation for Economic Cooperation and Development, 2007","","","","","cultural, linguistic, nationalistic, user-focused"
"99","008311@1999.nl","div","In short, there are many conceptual distinctions of the term “media diversity,” including diversity of access, diversity of choice, balance in the presentation of news, linguistic and geographical diversity, internal and external diversity. However, two subconcepts of diversity, that of access and choice for the audience, are the two notions that have been placed high on the agenda of regulators and policymakers when considering media concentrations. Regarding diversity of access, the key question is whether the possibility of establishing new media companies leads to the situation where all legitimate interests in a given society have an equal (or proportional) share of access to media channels. Regarding diversity as choice, the key question is whether an increase in channels actually leads to greater choice for the audience.

Diversity of Ideas.
Diversity of Products.
External andInternal Diversity

Since the market model encourages the proliferation of channels and new audience markets, it can lead to increased numerical diversity, that is, more channels and theoretically more consumer choice. The quantitative diversity of variety of channels, however, does not necessarily provide qualitative diversity of media content. In other words, ”there is a big difference between media pluralism and message pluralism and we must be careful not to confuse media abundance with media diversity.","Dennis McQuail, Media Performance:Mass Communication and the Public lnterest (London: Sage, 1992), 142.; Cento Veljanovski, The Media in Britain Today (London:News International plc, 1990).;
Wolfgang Hoffmann-Riem, “National Identity and Cultural Values: BroadcastingSafeguards” Journal of Broadcasting 31 (winter 1987):60-61.;
T. R. Donohue and T. L. Glasser, ”Homogeneity in Coverage of Connecticut Newspapers,” Journalism Quarterly 55 (autumn 1978):592-96.","Person diversity","diversity of ideas, diversity of content","issue diversity","","Product diversity, geographical diversity"
"100","008351@2000.nl","div","Vertical diversity (VD) of news topics, showing diversity in using available news topics by the networks",NA,NA,NA,"vertical diversity of topics",NA,NA
"101","008401@2002.nl","div","The general policy imperative that drives concerns about the viability of minority- targeted media outlets stems from policymakers' long-standing commitment to diversity in the sources of information and the content that these sources provide (Napoli, 1999a). The diversity principle extends, in part, from the traditional dem- ocratic theory notion of a well-functioning ""marketplace of ideas,"" in which citizens' abilities to participate effectively in the democratic processare contingent upon their abilities to consider a wide array of ideas and viewpoints from a wide array of sources (Napoli, 1999b; Sunstein, 1993). Diversity concerns have economic moti- vations, as well, since policymakers have sought to maximize the choices available to media consumers, thereby increasing their overall satisfaction (Entman & Wildman, 1992; Napoli, 1999b).

For the ""marketplace of ideas"" to enhance citizen knowledge and the consideration of diverse viewpoints, citizens must be exposed to diverse points of view (Napoli, 1999a). It has been argued that this exposure diversity is particularly vital within the context of minority media so that greater cultural understanding and social cohesion can be achieved (Rogovin, 1992).","Napoli, 1999; Sunstein, 1993;Entman & Wildman, 1992; Rogovin, 1992",NA,NA,NA,"source diversity","content diversity"
"102","008800@2006.nl","div","So is more diversity always better? Belief that diversity can be absolute or linear value is easy enough to repudiate. It might seem that all things plural, diverse and open-ended are to be automatically regarded as good. But as McLennan (1995) has pointed out, in deconstructing it, we are faced with questions of the following order: Is there not a point at which healthy diversity turns into unhealthy dissonance?

Similarly, while media diversity clearly denotes heterogeneity on some level, it can be defined in any number of ways and it can refer to any aspect of the media: sources, outlets, opinions as well as genres and representations. In debates on media policy, di- versity can refer to the extent which media contents reflect and serve various interests and opinions of the public, or it can refer to the general diffusion of media power in society on the level of ownership, economic structures, and political influence. Consid- ering the variety in possible definitions of diversity, empirical evidence on the relations of different aspects of diversity tends to be very ambiguous too

As Van Cuilenburg (1998) puts it, media diversity al- ways has to be ’gauged’ in some way to the variations in social reality. The question arises then, how to conceptualize this relationship. How are the differences against which diversity is examined constructed, institutionalized and operationalized?
Here, most studies follow McQuail’s (1992: 144-145) conceptualization, in which the media is seen to contribute to diversity in three ways: (1) by reflecting existing differ- ences in society, (2) by giving equal access to any different points of view, or (3) by offering a wide range of choice for individuals. Each of these implies a different inter- pretation on the meaning of media diversity and the standard by which it should be as- sessed.

Van Cuilenburg (1998: 41) has presented some of these problems in ‘diversity paradoxes’, contradictions between the aspects of diversity that cannot be reconciled. For instance, more reflective diversity usually goes with less diversity in terms of equal access for all groups. Similarly, the explosion of information increases choice but also bring along waste and overload of information. Even though the expansion of channels might lead to increased choice, there is no cor- responding effect on the citizens’ access to relevant information. On the contrary, in- crease in the diversity of supply may reduce the actual consumption of diversity (expo- sure diversity) (Gibbons, 2000: 308-311; Van der Wurff, 2004: 216).

In any case, the interpretation of diversity in terms of programme types or genres has consequently become the common focus of both scholarly and policy debates on media diversity (van der Wurff 2004: 216).","McLennan (1995); Van Cuilenburg (1998); McQuail (1992); Gibbons, 2000; Van der Wurff, 2004","","diversity of opinions","programme-type diversity","structural diversity/diversity of ownership/outlets",""
"103","008908@2003.nl","div","In the Notice of Inquiry published pursuant to the first [1998] Biennial Regulatory Review, 5 the Commission placed diversity at the forefront in defining the framework for review. It recognized three types of diversity: (1) viewpoint: ""helping to ensure that the material presented by the media reflect a wide range of diverse and antagonistic opinions and interpretations,"" (2) outlet: ""a variety of delivery services (e.g., broadcast stations, newspapers, cable and DBS) that select and present programming directly to the public,"" and (3) source: ""promoting a variety of program or information producers and owners.""6

In the Report
announced on June 2, 2003, the Commission recognized five types of diversity, reflecting changes in thinking on diversity since the first [1998] Review. (1) Viewpoint diversity ""refers to the availability of media content reflecting a variety of perspectives. A diverse and
robust marketplace of ideas is the foundation of our democracy. ' 30
(2) Programdiversity means ""a variety of programming forms and content""-for example, drama, comedy, news, reality shows, and sports for television.31 In 1998 program diversity had been considered a part of (3) source diversity, which refers to ""availability of media content from a variety of content producers. Program diversity was not thought to require extensive justification. ""[W]e expect program diversity to be best achieved by relying on media companies responding to consumer preferences. 35 (4) Outlet diversity, ""in a given market, there are multiple independently owned firms, '36 is used to measure viewpoint diversity.
The Commission reaffirmed (5) advancement of minority and female media ownership as an important diversity objective. It described several creative proposals and expressed an intent to issue a Notice of Proposed Rule Making.38

Three measures were used to determine diversity. A ""Diversity
Index"" developed by Dominick and Pierce 134 indicates ""the extent to
which a few categories dominate prime time.' 135 ""Vertical diversity""
is a sign of concentration of genres in the overall schedule, and
""horizontal diversity"" evaluates viewer choice of genre in the same 36
time period.1

The Commissioners introduced a statistical measure to justify the cross-owned combinations, the Diversity Index (DI). The DI is
modeled on the Herfindahl-Hirshmann Index (HHI), which is a tool used to analyze concentration in a given industry. A high HHI value is an indicator of high concentration. ","J. R. Dominick and M. C. Pearce, Trends in Network Prime-Time Programming,1953-74, 26 J. OF COMMUNICATION, (1976), 70-80.

In the Matter of 1998 Biennial Regulatory Review, Notice of Inquiry (1998), available at <http://www.fcc.gov/Bureaus/MassMedial Notices/1998/fcc98037.txt > (last visited March 19, 2003).

In the Matter of 2002 Biennial Review, Report and Order and Notice of Proposed Rulemaking (2003), at 19, available at <http:llwww.fcc.gov/ DailyReleases/DailyBusiness/2003/db07O2/FCC-03-127Al.pdf> (last visited July 9, 2003).
","","viewpoint diversity","Program diversity","outlet diversity/source diversity","advancement of minority and female ownership"
"104","008915@2000.nl","div","Consistent with the literature, diversity was defined in terms of the variation of news content, sources and viewpoints, The more viewpoints that are represented in a news story, themore diversity is said to be present. I I Greater variety among sources' gender, age, ethnicity and occupation also means greater diversity exists. This parallels definitions proposed by Paul Voakes and associates in 1996, and Phil Jacklin in his 1978 article, Representative Diversity. 12","Paul Voakes and associates in 1996; Jacklin (1978)","source roles (also seen as diversity of viewpoints)",NA,NA,NA,NA
"105","008977@2006.nl","div","Specifically for the study at hand, the focus of diversity will be on gender, examining the parity between male and female sources in news content.",NA,"Gender diversity of sources",NA,NA,NA,NA
"106","009007@2007.nl","div","In 1977, Chaffee and Wilson used the H-statistic to measure diversity of people's thinking about issues in the news. 

Recently, Culbertson used the H-statistic to measure agenda diversity— comprehensiveness of topics covered—in varied news-related messages.


Variation was measured here by calculating the percentage of ""para- graph mentions"" in a given paper devoted to each topic. The researcher then computed the standard devia- tion (SD), a measure of variation, of these percentages.
If number of topics covered and SD tap a single underlying concept of agenda diversity, they ought to correlate highly and negatively with each other.


1. H (micro topics)
2. No. of topics (micro)
3. Standard deviation
(micro)
4. H (macro topics)
5. No. of topics (macro)
6. Standard deviation
(macro)","Chaffee and Wilson (1977); 
26. Hugh M. Culbertson, ""American and Filipino Editorials on the 1986 Philippine Election and Revolution,"" Philippine Communication Journal 1, no. 3 (fune 1987): 1-14, ",NA,NA,"agenda diversity",NA,NA
"107","009009@2004.nl","div","Do the two newspapers offer edi- torial diversity on such variables as geographic preference of topics, such as local, state/region, national and in- ternational; frequency of editorials published of a controversial nature; variety and frequency of editorial top- ics and political ideology (i.e. Demo- crat vs. Republican) as reflected in opinions on presidential policies?",NA,NA,"political ideology/controversy","topic",NA,"geographical diversity"
"108","000143@2018.nl","ech","Echo chambers, on the other hand, result from
people being over-exposed to information due to the same mechanisms, with the effect
of reinforcing their existing beliefs and creating a false impression of the extent to which
those views are shared by the population as a whole.",NA,NA,NA,NA,NA,NA
"109","000286@2018.nl","ech","These changes in news information flow have led scholars
and journalists to voice concern that social media is promoting filter bubbles where
people are isolated from news due to personalized filtering and echo chambers where
people are increasingly surrounded by information shared from like-minded friends
and acquaintances (Pariser, 2011; Sunstein, 2017).","Sunstein (2017)",NA,NA,NA,NA,NA
"110","000421@2018.nl","ech","Echo chambers occur when people with the same interests or views interact primarily
within their group. They seek and share information that both conforms to the norms
of their group and tends to reinforce existing beliefs (Jamieson & Cappella, 2008; Sunstein,
2009)","Jamieson & Cappella, 2008; Sunstein,
2009",NA,NA,NA,NA,NA
"111","001772@2016.nl","ech","The power-law distribution of links may lend support to scholars concerned with the Internet’s potential to become an echo chamber. Sunstein (2006) writes: ‘What we now know about both links and individual behavior supports the general view that many people are mostly hearing more and louder echoes of their own voices’ (p. 55).

 Some scholars share Sunstein’s (2001, 2006) pessimistic view that the Internet intensifies selective exposure, creating an ‘echo chamber’ where citizens hear the same narrow band of opinions (Morozov, 2011; Pariser, 2011; Shirky, 2003)","Sunstein’s (2001, 2006); (Morozov, 2011; Pariser, 2011; Shirky, 2003)",NA,NA,NA,NA,NA
"112","001823@2016.nl","ech","Finally, the existence of echo chambers, i.e., groups of like-minded who mainly talk to each other (e.g., Sunstein, 2009), can be fully studied.

Related to this is the issue of polarisation and echo chambers that have been recognised as features of digitalised political communication. According to Sunstein (2009, p. 76), society might be better off 'if greater communication choices produce greater extremism' because 'when many different groups are deliberating with one another, society will hear a far wider range of views'. ","Sunstein (2009)",NA,NA,NA,NA,NA
"113","002061@2016.nl","ech","So-called “echo chambers” – wherein political discussions are primarily or exclusively one-sided – have been discovered in numerous online communities (see Adamic and Glance, 2005; Boutet et al., 2013)","Adamic and Glance, 2005; Boutet et al., 2013",NA,NA,NA,NA,NA
"114","002852@2014.nl","ech","The political discourse taking place in these enclaves is characterized by a disregard of discrepant information and a high degree of cognitive errors. An exchange of ideas, a critical reflection of one’s viewpoints or the simple listening to different opinions becomes unlikely in these ‘echo chambers’ (Sunstein 2002) or ‘virtual bubbles’.","Sunstein 2002",NA,"political attitudes",NA,NA,NA
"115","002938@2014.nl","ech","The question of political homophily is important because it concerns the ability of
digital media to support the formation of a public sphere, where a diversity of opinion
and information can interact, or, conversely, to function as an echo chamber that
reinforces established perspectives and opinions.

Other authors contest this public sphere scenario, suggesting that instead of
reinforcing democratic discussion, the Internet reinforces prior political views due
to selective exposure to political content (Bimber & Davis, 2003; Davis, 1999; Galston,
2003; Mutz & Martin, 2001; Noveck, 2000; Sunstein, 2001; Wilhelm, 1998). In
this case, the Internet functions as an echo chamber where political orientation is
reaffirmed (Sunstein, 2001).","Sunstein, 2001",NA,"partisans",NA,NA,NA
"116","002941@2014.nl","ech","Finally, by analyzing
our behavioral data not only at the micro-level but also at the macro-level, we can examine
whether individuals’ media repertoires translate into online echo chambers, that is,
when taken together, individuals’ selectivity creates two different homogeneous audiences,
one from the left and the other from the right.",NA,NA,"ideological content",NA,NA,NA
"117","002959@2014.nl","ech","This results into the creation of
echo-chambers where like-minded individuals talk with each other and, as a result, reinforce
each other’s views. In our work, we found that Twitter users segregate themselves
into echo chambers by sharing like-minded opinions even though they are exposed to
different opinions.",NA,NA,NA,NA,NA,NA
"118","004796@2009.nl","ech","Would online political communication herald an era of ‘‘echo chambers,’’ of political fragmentation and social polarization (Sunstein, 2001)?

there is little evidence that they will use the Internet to create echo chambers, devoid of other viewpoints, no matter how much control over their political information environment they are given. "," Sunstein, 2001",NA,NA,NA,NA,NA
"119","000007@2019.nl","fil","Regarding personalization, a primary concern about algorithms as
news gatekeepers is their capacity to tailor information encounters,
typically described as leading to echo chambers (Sunstein, 2002, 2018)
or “filter bubbles” (Pariser, 2011). This personalization, it is argued,
limits what people see and experience, particularly from opposing
viewpoints, and ultimately may narrow their knowledge and choices","Pariser (2011)",NA,NA,NA,NA,NA
"120","000142@2018.nl","fil","Pariser (2011) among others (Sunstein 2017, 2001) predicted the rise of “echo
chambers” in these filter bubbles as characterized by users exposed to only confirming
opinions/content (Flaxman, Goel, and Rao 2016).","Pariser (2011), Sunsteine (2017,2001)",NA,NA,NA,NA,"Links shared"
"121","000143@2018.nl","fil","But it has also prompted fears over the possible
emergence of echo chambers and filter bubbles. Though these concerns are subtly different,
both are rooted in the idea that ever more responsive algorithmic selection will narrow
the range of information people are exposed to. With filter bubbles, the idea is that
certain information will be hidden from people, either because it is deemed unpopular,
of low quality, or does not match with the preferences, interests, and beliefs inferred
from their past behaviour (Pariser 2011).","Pariser (2011)",NA,NA,NA,NA,NA
